timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674477150557,965,HomePage,200,OK,Thread Group 1-1,text,true,,4976,236,3,3,https://blazedemo.com/,294,0,22
1674477150557,294,HomePage-0,302,Found,Thread Group 1-1,text,true,,219,118,3,3,http://blazedemo.com/,294,0,22
1674477150852,670,HomePage-1,200,OK,Thread Group 1-1,text,true,,4757,118,3,3,https://blazedemo.com/,667,0,267
1674477150956,926,HomePage,200,OK,Thread Group 1-2,text,true,,4976,236,4,4,https://blazedemo.com/,296,0,23
1674477150956,296,HomePage-0,302,Found,Thread Group 1-2,text,true,,219,118,4,4,http://blazedemo.com/,296,0,23
1674477151254,628,HomePage-1,200,OK,Thread Group 1-2,text,true,,4757,118,4,4,https://blazedemo.com/,622,0,265
1674477151357,904,HomePage,200,OK,Thread Group 1-3,text,true,,4976,236,5,5,https://blazedemo.com/,297,0,24
1674477151357,297,HomePage-0,302,Found,Thread Group 1-3,text,true,,219,118,5,5,http://blazedemo.com/,297,0,24
1674477151655,606,HomePage-1,200,OK,Thread Group 1-3,text,true,,4757,118,5,5,https://blazedemo.com/,603,0,192
1674477151523,787,LoginPage,200,OK,Thread Group 1-1,text,true,,5974,246,5,5,https://blazedemo.com/login,323,0,0
1674477151523,323,LoginPage-0,302,Found,Thread Group 1-1,text,true,,224,123,5,5,http://blazedemo.com/login,323,0,0
1674477151847,463,LoginPage-1,200,OK,Thread Group 1-1,text,true,,5750,123,5,5,https://blazedemo.com/login,460,0,0
1674477151883,656,LoginPage,200,OK,Thread Group 1-2,text,true,,5968,246,5,5,https://blazedemo.com/login,273,0,0
1674477151883,273,LoginPage-0,302,Found,Thread Group 1-2,text,true,,224,123,5,5,http://blazedemo.com/login,273,0,0
1674477152156,383,LoginPage-1,200,OK,Thread Group 1-2,text,true,,5744,123,5,5,https://blazedemo.com/login,381,0,0
1674477151756,980,HomePage,200,OK,Thread Group 1-4,text,true,,4976,236,5,5,https://blazedemo.com/,400,0,90
1674477151756,400,HomePage-0,302,Found,Thread Group 1-4,text,true,,219,118,5,5,http://blazedemo.com/,400,0,90
1674477152157,579,HomePage-1,200,OK,Thread Group 1-4,text,true,,4757,118,5,5,https://blazedemo.com/,573,0,224
1674477152311,662,RegisterPage,200,OK,Thread Group 1-1,text,true,,6569,252,5,5,https://blazedemo.com/register,277,0,0
1674477152311,277,RegisterPage-0,302,Found,Thread Group 1-1,text,true,,227,126,5,5,http://blazedemo.com/register,277,0,0
1674477152588,385,RegisterPage-1,200,OK,Thread Group 1-1,text,true,,6342,126,5,5,https://blazedemo.com/register,366,0,0
