timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674479803002,1312,HomePage,200,OK,Thread Group 1-1,text,true,,4976,236,4,4,https://blazedemo.com/,681,0,343
1674479803002,681,HomePage-0,302,Found,Thread Group 1-1,text,true,,219,118,4,4,http://blazedemo.com/,681,0,343
1674479803685,629,HomePage-1,200,OK,Thread Group 1-1,text,true,,4757,118,4,4,https://blazedemo.com/,623,0,230
1674479803402,999,HomePage,200,OK,Thread Group 1-2,text,true,,4976,236,4,4,https://blazedemo.com/,422,0,20
1674479803402,422,HomePage-0,302,Found,Thread Group 1-2,text,true,,219,118,4,4,http://blazedemo.com/,422,0,20
1674479803825,576,HomePage-1,200,OK,Thread Group 1-2,text,true,,4757,118,4,4,https://blazedemo.com/,575,0,154
1674479803802,977,HomePage,200,OK,Thread Group 1-3,text,true,,4976,236,5,5,https://blazedemo.com/,291,0,19
1674479803802,291,HomePage-0,302,Found,Thread Group 1-3,text,true,,219,118,5,5,http://blazedemo.com/,291,0,19
1674479804094,685,HomePage-1,200,OK,Thread Group 1-3,text,true,,4757,118,5,5,https://blazedemo.com/,685,0,307
1674479804315,700,LoginPage,200,OK,Thread Group 1-1,text,true,,5966,246,5,5,https://blazedemo.com/login,290,0,0
1674479804315,290,LoginPage-0,302,Found,Thread Group 1-1,text,true,,224,123,5,5,http://blazedemo.com/login,290,0,0
1674479804605,410,LoginPage-1,200,OK,Thread Group 1-1,text,true,,5742,123,5,5,https://blazedemo.com/login,410,0,0
1674479804201,1044,HomePage,200,OK,Thread Group 1-4,text,true,,4976,236,5,5,https://blazedemo.com/,404,0,97
1674479804201,404,HomePage-0,302,Found,Thread Group 1-4,text,true,,219,118,5,5,http://blazedemo.com/,404,0,97
1674479804606,639,HomePage-1,200,OK,Thread Group 1-4,text,true,,4757,118,5,5,https://blazedemo.com/,633,0,173
1674479804401,921,LoginPage,200,OK,Thread Group 1-2,text,true,,5968,246,5,5,https://blazedemo.com/login,406,0,0
1674479804401,406,LoginPage-0,302,Found,Thread Group 1-2,text,true,,224,123,5,5,http://blazedemo.com/login,406,0,0
1674479804807,515,LoginPage-1,200,OK,Thread Group 1-2,text,true,,5744,123,5,5,https://blazedemo.com/login,515,0,0
1674479804601,919,HomePage,200,OK,Thread Group 1-5,text,true,,4976,236,5,5,https://blazedemo.com/,311,0,20
1674479804601,311,HomePage-0,302,Found,Thread Group 1-5,text,true,,219,118,5,5,http://blazedemo.com/,311,0,20
1674479804914,606,HomePage-1,200,OK,Thread Group 1-5,text,true,,4757,118,5,5,https://blazedemo.com/,606,0,164
1674479804779,812,LoginPage,200,OK,Thread Group 1-3,text,true,,5958,246,5,5,https://blazedemo.com/login,253,0,0
1674479804779,253,LoginPage-0,302,Found,Thread Group 1-3,text,true,,224,123,5,5,http://blazedemo.com/login,253,0,0
1674479805032,559,LoginPage-1,200,OK,Thread Group 1-3,text,true,,5734,123,5,5,https://blazedemo.com/login,546,0,0
1674479805015,785,RegisterPage,200,OK,Thread Group 1-1,text,true,,6571,252,5,5,https://blazedemo.com/register,307,0,0
1674479805015,307,RegisterPage-0,302,Found,Thread Group 1-1,text,true,,227,126,5,5,http://blazedemo.com/register,307,0,0
1674479805322,478,RegisterPage-1,200,OK,Thread Group 1-1,text,true,,6344,126,5,5,https://blazedemo.com/register,465,0,0
1674479805245,766,LoginPage,200,OK,Thread Group 1-4,text,true,,5972,246,5,5,https://blazedemo.com/login,275,0,0
1674479805245,275,LoginPage-0,302,Found,Thread Group 1-4,text,true,,224,123,5,5,http://blazedemo.com/login,275,0,0
1674479805520,491,LoginPage-1,200,OK,Thread Group 1-4,text,true,,5748,123,5,5,https://blazedemo.com/login,478,0,0
1674479805322,787,RegisterPage,200,OK,Thread Group 1-2,text,true,,6569,252,5,5,https://blazedemo.com/register,259,0,0
1674479805322,259,RegisterPage-0,302,Found,Thread Group 1-2,text,true,,227,126,5,5,http://blazedemo.com/register,259,0,0
1674479805582,527,RegisterPage-1,200,OK,Thread Group 1-2,text,true,,6342,126,5,5,https://blazedemo.com/register,502,0,0
1674479805520,846,LoginPage,200,OK,Thread Group 1-5,text,true,,5974,246,5,5,https://blazedemo.com/login,267,0,0
1674479805520,267,LoginPage-0,302,Found,Thread Group 1-5,text,true,,224,123,5,5,http://blazedemo.com/login,267,0,0
1674479805787,579,LoginPage-1,200,OK,Thread Group 1-5,text,true,,5750,123,5,5,https://blazedemo.com/login,572,0,0
1674479805592,784,RegisterPage,200,OK,Thread Group 1-3,text,true,,6575,252,5,5,https://blazedemo.com/register,258,0,0
1674479805592,258,RegisterPage-0,302,Found,Thread Group 1-3,text,true,,227,126,5,5,http://blazedemo.com/register,258,0,0
1674479805850,526,RegisterPage-1,200,OK,Thread Group 1-3,text,true,,6348,126,5,5,https://blazedemo.com/register,499,0,0
1674479805800,679,HomePage,200,OK,Thread Group 1-1,text,true,,4976,236,5,5,https://blazedemo.com/,258,0,0
1674479805800,258,HomePage-0,302,Found,Thread Group 1-1,text,true,,219,118,5,5,http://blazedemo.com/,258,0,0
1674479806058,421,HomePage-1,200,OK,Thread Group 1-1,text,true,,4757,118,5,5,https://blazedemo.com/,418,0,0
1674479806011,700,RegisterPage,200,OK,Thread Group 1-4,text,true,,6571,252,5,5,https://blazedemo.com/register,257,0,0
1674479806011,257,RegisterPage-0,302,Found,Thread Group 1-4,text,true,,227,126,5,5,http://blazedemo.com/register,257,0,0
1674479806268,443,RegisterPage-1,200,OK,Thread Group 1-4,text,true,,6344,126,5,5,https://blazedemo.com/register,433,0,0
1674479806376,652,HomePage,200,OK,Thread Group 1-3,text,true,,4976,236,5,5,https://blazedemo.com/,259,0,0
1674479806376,259,HomePage-0,302,Found,Thread Group 1-3,text,true,,219,118,5,5,http://blazedemo.com/,259,0,0
1674479806635,393,HomePage-1,200,OK,Thread Group 1-3,text,true,,4757,118,5,5,https://blazedemo.com/,380,0,0
1674479806366,678,RegisterPage,200,OK,Thread Group 1-5,text,true,,6573,252,5,5,https://blazedemo.com/register,259,0,0
