Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
HomePage,50,1016,581,2964,1421,476.44,0.00%,.0,0.00,4976.0
HomePage-0,50,397,243,1812,681,268.65,0.00%,.0,0.00,219.0
HomePage-1,50,617,331,2115,915,312.02,0.00%,.0,0.00,4757.0
LoginPage,48,842,609,1667,1116,249.30,0.00%,.0,0.00,5967.8
LoginPage-0,48,343,242,997,474,196.39,0.00%,.0,0.00,224.1
LoginPage-1,48,499,349,820,621,110.79,0.00%,.0,0.00,5743.8
RegisterPage,46,728,610,1213,806,101.51,0.00%,.0,0.00,6571.9
RegisterPage-0,46,284,244,752,311,80.40,0.00%,.0,0.00,227.0
RegisterPage-1,46,443,352,573,535,61.80,0.00%,.0,0.00,6344.9
TOTAL,432,577,242,2964,952,338.99,0.00%,.0,0.03,3877.6
