timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674490624853,314,HTTP Request,200,OK,Thread Group 1-1,text,true,,17551,119,1,1,http://www.google.com/,299,0,59
1674490625174,106,HTTP Request,200,OK,Thread Group 1-1,text,true,,17491,119,1,1,http://www.google.com/,97,0,0
1674490625281,171,HTTP Request,200,OK,Thread Group 1-1,text,true,,17499,119,1,1,http://www.google.com/,165,0,0
1674490625453,102,HTTP Request,200,OK,Thread Group 1-1,text,true,,17495,119,1,1,http://www.google.com/,97,0,0
1674490625556,101,HTTP Request,200,OK,Thread Group 1-1,text,true,,17517,119,1,1,http://www.google.com/,95,0,0
1674490625717,341,HTTP Request,200,OK,Thread Group 1-2,text,true,,17495,119,1,1,http://www.google.com/,241,0,21
1674490626059,108,HTTP Request,200,OK,Thread Group 1-2,text,true,,17465,119,1,1,http://www.google.com/,102,0,0
1674490626168,204,HTTP Request,200,OK,Thread Group 1-2,text,true,,17523,119,1,1,http://www.google.com/,198,0,0
1674490626373,101,HTTP Request,200,OK,Thread Group 1-2,text,true,,17469,119,1,1,http://www.google.com/,98,0,0
1674490626475,252,HTTP Request,200,OK,Thread Group 1-2,text,true,,17425,119,2,2,http://www.google.com/,246,0,0
1674490626715,160,HTTP Request,200,OK,Thread Group 1-3,text,true,,17496,119,1,1,http://www.google.com/,142,0,22
1674490626876,155,HTTP Request,200,OK,Thread Group 1-3,text,true,,17490,119,1,1,http://www.google.com/,145,0,0
1674490627032,161,HTTP Request,200,OK,Thread Group 1-3,text,true,,17484,119,1,1,http://www.google.com/,155,0,0
1674490627194,298,HTTP Request,200,OK,Thread Group 1-3,text,true,,17368,119,1,1,http://www.google.com/,285,0,0
1674490627493,104,HTTP Request,200,OK,Thread Group 1-3,text,true,,17513,119,1,1,http://www.google.com/,95,0,0
1674490627715,158,HTTP Request,200,OK,Thread Group 1-4,text,true,,17501,119,1,1,http://www.google.com/,125,0,22
1674490627874,166,HTTP Request,200,OK,Thread Group 1-4,text,true,,17498,119,1,1,http://www.google.com/,160,0,0
1674490628041,107,HTTP Request,200,OK,Thread Group 1-4,text,true,,17583,119,1,1,http://www.google.com/,98,0,0
1674490628149,164,HTTP Request,200,OK,Thread Group 1-4,text,true,,17483,119,1,1,http://www.google.com/,155,0,0
1674490628314,133,HTTP Request,200,OK,Thread Group 1-4,text,true,,17471,119,1,1,http://www.google.com/,102,0,0
1674490628714,162,HTTP Request,200,OK,Thread Group 1-5,text,true,,17557,119,1,1,http://www.google.com/,144,0,30
1674490628877,114,HTTP Request,200,OK,Thread Group 1-5,text,true,,17453,119,1,1,http://www.google.com/,108,0,0
1674490628992,153,HTTP Request,200,OK,Thread Group 1-5,text,true,,17484,119,1,1,http://www.google.com/,146,0,0
1674490629146,97,HTTP Request,200,OK,Thread Group 1-5,text,true,,17485,119,1,1,http://www.google.com/,91,0,0
1674490629244,105,HTTP Request,200,OK,Thread Group 1-5,text,true,,17502,119,1,1,http://www.google.com/,98,0,0
